Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Recommended For,Recommended By,Owned Copies,Original Purchase Date,Original Purchase Location,Condition,Condition Description,BCID
22605938,Working Effectively with Unit Tests,Jay Fields,"Fields, Jay",Michael C. Feathers,"=""""","=""""",0,3.98,leanpub,ebook,204,2014,2014,,2014/09/04,to-read,to-read (#23),to-read,,,,0,,,0,,,,,
18975021,The Original Reiki Handbook of Dr. Mikao Usui,Mikao Usui,"Usui, Mikao",Christine M. Grimm,"=""""","=""9780940676770""",3,4.27,Lotus Press,Kindle Edition,79,1999,1999,2013/12/26,2014/01/02,,,read,,,,1,,,1,,,unspecified,,
17403745,Manage Your Job Search,Johanna Rothman,"Rothman, Johanna",,"=""""","=""""",0,4.28,,ebook,,,2014,2014/08/31,2014/04/12,,,read,,,,1,,,0,,,,,
870572,How to Make Love All Night: And Drive a Woman Wild!,Barbara Keesling,"Keesling, Barbara",,"=""006092621X""","=""9780060926212""",0,3.85,William Morrow Paperbacks,Paperback,192,2007,1994,2014/08/31,2014/01/02,,,read,,,,1,,,1,,,unspecified,,
16145629,Kříž u potoka,Karolina Světlá,"Světlá, Karolina",,"=""""","=""""",0,4.01,Knihovnička,Paperback,220,,1968,2014/08/26,2014/08/25,,,read,,,,1,,,0,,,,,
10883803,Clojure Programming,Chas Emerick,"Emerick, Chas","Brian Carper, Christophe Grand","=""1449394701""","=""9781449394707""",0,4.16,O'Reilly Media,Paperback,630,2012,2011,,2014/01/04,to-read,to-read (#22),to-read,,,,0,,,0,,,,,
4414681,Foundations Of Logic Programming,J.W. Lloyd,"Lloyd, J.W.",,"=""0387132996""","=""9780387132990""",0,4.50,Springer,Hardcover,124,1984,1984,,2014/08/23,to-read,to-read (#21),to-read,,,,0,,,0,,,,,
12841318,"Datalog Reloaded: First International Workshop, Datalog 2010, Oxford, UK, March 16-19, 2010. Revised Selected Papers",Oege de Moor,"Moor, Oege de","Georg Gottlob, Tim Furche, Andrew Sellers","=""3642242057""","=""9783642242052""",0,0.0,Springer,Paperback,398,2011,2011,,2014/08/23,to-read,to-read (#20),to-read,,,,0,,,0,,,,,
18881447,The Moon-Voyage,Jules Verne,"Verne, Jules",,"=""""","=""""",3,3.55,,Kindle Edition,352,2012,2009,2014/08/09,2014/08/05,,,read,,,,1,,,0,,,,,
33411,War with the Newts,Karel Čapek,"Čapek, Karel","M. Weatherall, R. Weatherall, Ivan Klíma","=""0810114682""","=""9780810114685""",4,4.17,Northwestern University Press,Paperback,348,1996,1936,2011/01/01,2014/01/02,,,read,,,,1,,,1,,,unspecified,,
774928,"Rendezvous with Rama (Rama, #1)",Arthur C. Clarke,"Clarke, Arthur C.",,"=""0553287893""","=""9780553287899""",4,4.03,Spectra,Paperback,245,1990,,2012/12/01,2014/01/02,,,read,,,,1,,,1,,,unspecified,,
533653,Cloud Atlas,David Mitchell,"Mitchell, David",,"=""0340822775""","=""9780340822777""",5,4.00,Sceptre,Hardcover,531,2004,2004,2012/10/25,2014/01/02,,,read,,,,1,,,1,,,unspecified,,
337109,Paris in the Twentieth Century,Jules Verne,"Verne, Jules","Richard Howard, Eugen Weber","=""034542039X""","=""9780345420398""",4,3.38,Del Rey,Paperback,222,1997,1994,2013/05/02,2014/01/02,,,read,,,,1,,,1,,,unspecified,,
11468377,"Thinking, Fast and Slow",Daniel Kahneman,"Kahneman, Daniel",,"=""0374275637""","=""9780374275631""",0,4.16,"Farrar, Straus and Giroux",Hardcover,499,2011,2011,,2014/08/01,to-read,to-read (#19),to-read,,,,0,,,0,,,,,
15811999,Introducing Erlang: Getting Started in Functional Programming,Simon St. Laurent,"Laurent, Simon St.",,"=""1449331769""","=""9781449331764""",0,3.81,O'Reilly Media,Paperback,204,2013,2012,,2014/08/01,to-read,to-read (#18),to-read,,,,0,,,0,,,,,
17971957,Programming Elixir: Functional |> Concurrent |> Pragmatic |> Fun,Dave Thomas,"Thomas, Dave",,"=""1937785580""","=""9781937785581""",0,4.29,The Pragmatic Bookshelf,Paperback,287,2013,2013,,2014/08/01,to-read,to-read (#17),to-read,,,,0,,,0,,,,,
67825,Peopleware: Productive Projects and Teams,Tom DeMarco,"DeMarco, Tom",Timothy R. Lister,"=""0932633439""","=""9780932633439""",0,4.17,"Dorset House Publishing Company, Incorporated",Paperback,245,1999,1987,,2014/04/12,to-read,to-read (#16),to-read,,,,0,,,0,,,,,
17623617,The Joy of Clojure,Michael Fogus,"Fogus, Michael",Chris Houser,"=""1617291412""","=""9781617291418""",4,4.18,Manning Publications,Paperback,477,2014,2010,,2014/04/24,currently-reading,currently-reading (#1),currently-reading,,,,1,,,0,,,,,
112520,"Rama II (Rama, #2)",Arthur C. Clarke,"Clarke, Arthur C.",Gentry Lee,"=""2290032042""","=""9782290032046""",4,3.69,J'ai lu,Paperback,480,1996,1989,2014/02/01,2014/02/09,,,read,,,,1,,,0,,,,,
19052163,Příběh strýčka Martina,Patrick Zandl,"Zandl, Patrick",,"=""""","=""""",5,3.83,,ebook,,2013,2013,2014/01/09,2014/01/02,,,read,,,,1,,,0,,,,,
4102,Practices of an Agile Developer: Working in the Real World,Venkat Subramaniam,"Subramaniam, Venkat",Andy Hunt,"=""097451408X""","=""9780974514086""",0,3.88,Pragmatic Bookshelf,Paperback,189,2006,2006,,2014/01/02,to-read,to-read (#15),to-read,,,,0,,,0,,,,,
4268826,"Growing Object-Oriented Software, Guided by Tests",Steve  Freeman,"Freeman, Steve",Nat Pryce,"=""0321503627""","=""9780321503626""",0,4.19,Addison-Wesley Professional,Paperback,345,2009,2009,,2014/01/02,to-read,to-read (#14),to-read,,,,0,,,1,,,unspecified,,
3226758,Real World Haskell: Code You Can Believe In,Bryan O'Sullivan,"O'Sullivan, Bryan","John Goerzen, Donald Bruce Stewart","=""0596514980""","=""9780596514983""",0,3.92,O'Reilly Media,Paperback,720,2008,2008,,2014/01/02,to-read,to-read (#13),to-read,,,,0,,,1,,,unspecified,,
17152732,Vagrant: Up and Running,Mitchell Hashimoto,"Hashimoto, Mitchell",,"=""1449335837""","=""9781449335830""",0,3.75,O'Reilly Media,Paperback,158,2013,2013,,2014/01/02,to-read,to-read (#12),to-read,,,,0,,,1,,,unspecified,,
15808117,Programming F# 3.0,Chris Smith,"Smith, Chris",,"=""1449320295""","=""9781449320294""",0,3.82,O'Reilly Media,Paperback,476,2012,2009,,2014/01/02,to-read,to-read (#11),to-read,,,,0,,,1,,,unspecified,,
101753,Buddhism: The Path to NIRVana,Robert C. Lester,"Lester, Robert C.",,"=""1577660137""","=""9781577660132""",0,3.36,Waveland Press,Paperback,160,1998,1987,,2014/01/02,to-read,to-read (#10),to-read,,,,0,,,1,,,unspecified,,
18492373,Clojure Cookbook: Recipes for Functional Programming,Luke VanderHart,"VanderHart, Luke",Avery Ryan Quinn,"=""1449366171""","=""9781449366179""",0,3.72,O'Reilly Media,Paperback,450,2014,2014,,2014/01/02,to-read,to-read (#9),to-read,,,,0,,,1,,,unspecified,,
19898424,Working Effectively with Legacy Code,Michael C. Feathers,"Feathers, Michael C.",,"=""""","=""""",0,4.14,Prentice Hall,Kindle Edition,456,2004,2004,,2014/01/02,to-read,to-read (#8),to-read,,,,0,,,1,,,unspecified,,
18652730,What Is Node?,Brett McLaughlin,"McLaughlin, Brett",,"=""""","=""""",0,3.39,O'Reilly Media,Kindle Edition,25,2011,2011,,2014/01/02,to-read,to-read (#6),to-read,,,,0,,,1,,,unspecified,,
6166611,Real-World Functional Programming: With Examples in F# and C#,Tomas Petricek,"Petricek, Tomas",Jon Skeet,"=""1933988924""","=""9781933988924""",0,3.90,Manning Publications,Paperback,500,2010,2009,,2014/01/02,to-read,to-read (#5),to-read,,,,0,,,1,,,unspecified,,
17610214,Functional Programming Patterns in Scala and Clojure: Write Lean Programs for the JVM,Michael Bevilacqua-Linn,"Bevilacqua-Linn, Michael",,"=""1937785475""","=""9781937785475""",0,3.09,"The Pragmatic Programmers, LLC",Paperback,250,2013,2013,,2014/01/02,to-read,to-read (#4),to-read,,,,0,,,1,,,unspecified,,
18592215,Programming Sound with Pure Data,Tony Hillerson,"Hillerson, Tony",,"=""1937785661""","=""9781937785666""",0,4.00,Pragmatic Programmers,Paperback,200,2014,2014,,2014/01/02,to-read,to-read (#3),to-read,,,,0,,,1,,,unspecified,,
18632404,Effective Programming: More Than Writing Code,Jeff Atwood,"Atwood, Jeff",,"=""""","=""""",0,3.92,Hyperink - Guide to Effective Programming,Kindle Edition,279,2012,2012,,2014/01/02,to-read,to-read (#2),to-read,,,,0,,,1,,,unspecified,,
19391967,Instant Nancy Web Development,Christian Horsdal,"Horsdal, Christian",,"=""1783283920""","=""9781783283927""",0,3.38,Packt Publishing,ebook,74,2013,2013,,2014/01/02,to-read,to-read (#1),to-read,,,,0,,,1,,,unspecified,,
1540877,"The Castle of the Carpathians (Extraordinary Voyages, #37)",Jules Verne,"Verne, Jules",,"=""""","=""""",4,3.62,Fredonia Books,Hardcover,211,2001,1892,,2014/01/02,,,read,,,,1,,,1,,,unspecified,,
382900,The Complete Illustrated Kama Sutra,Mallanaga Vātsyāyana,"Vātsyāyana, Mallanaga",Lance Dane,"=""0892811382""","=""9780892811380""",4,3.48,Inner Traditions,Hardcover,320,2003,300,,2014/01/02,,,read,,,,1,,,1,,,unspecified,,
1138702,Taras Bulba,Nikolai Gogol,"Gogol, Nikolai","Peter Constantine, Robert D. Kaplan","=""0679642552""","=""9780679642558""",4,3.71,Modern Library,Hardcover,176,2003,1835,,2014/01/02,,,read,,,,1,,,0,,,,,
70156,Patterns of Enterprise Application Architecture,Martin Fowler,"Fowler, Martin","David Rice, Matthew Foemmel, Edward Hieatt, Robert Mee, Randy Stafford","=""0321127420""","=""9780321127426""",0,4.11,Addison-Wesley Professional,Hardcover,533,2002,2002,,2014/01/02,,,read,,,,1,,,1,,,unspecified,,
